OSKMcMycOpen,BSGMcMycOpen,GETMcMycOpen,GETME_EScMycOpen,GETME_TScMycOpen,OSKMcMycClose,BSGMcMycClose,GETMcMycClose,GETME_EScMycClose,GETME_TScMycClose
Cog2,Fbxo34,Ctnnb1,Dact2,Ctif,Plekhb2,,Fbxl17,Gpr65,Gcnt1
Col14a1,Fbxo4,Ctnnbip1,Dact3,Ctnna1,Plekhf2,,Fbxl7,Gpr68,Gda
Col15a1,Fbxo46,Ctnnd1,Dag1,Ctnnal1,Plekhh1,,Fbxo11,Gprc5a,Gdf10
Col16a1,Fbxo7,Ctnnd2,Daglb,Ctnnb1,Plekho1,,Fbxo25,Gprc5c,Gdf6
Col27a1,Fbxw4,Ctps2,Dap,Ctnnbip1,Plin2,,Fbxo32,Gprin3,Gdnf
Col2a1,Fbxw7,Ctsa,Dap3,Ctnnd1,Pls1,,Fbxo4,Gpsm3,Gem
Col4a1,Fbxw9,Ctsc,Dapk1,Ctnnd2,Plxdc2,,Fbxo5,Grb14,Gemin5
Col4a2,Fcgr1,Ctsd,Dars,Ctsb,Plxna1,,Fbxw10,Grb2,Gemin6
Col4a5,Fchsd2,Ctsh,Dbf4,Ctsc,Plxna4,,Fbxw11,Greb1l,Gfpt2
Col5a1,Fdx1l,Ctsl,Dbi,Ctsd,Pmm1,,Fbxw17,Grem1,Gfra1
Col5a3,Fdxr,Ctsz,Dbn1,Ctsl,Pms1,,Fcgr1,Grem2,Gfra2
Col8a2,Fem1b,Cttnbp2,Dbr1,Ctsz,Pnldc1,,Fcgr3,Grhl3,Gga2
Colec12,Fgd2,Cttnbp2nl,Dbt,Cttnbp2,Pogz,,Fcgr4,Gria1,Ggact
Colgalt1,Fgd6,Ctu2,Dcaf10,Cttnbp2nl,Polq,,Fem1b,Gria4,Ggct
Colgalt2,Fgfbp3,Cubn,Dcaf17,Cubn,Polr3b,,Fem1c,Grid2,Ggh
Commd7,Fgfr1,Cuedc1,Dcaf4,Cuedc1,Polr3gl,,Fer,Grik1,Ghr
Commd9,Fgfr1op,Cul5,Dcbld2,Cul4a,Polr3h,,Fermt2,Grin3a,Ghrh
Comp,Fgfr3,Cux1,Dchs1,Cul5,Pot1a,,Fez2,Grip1,Gid8
Copb2,Fgfrl1,Cwc22,Dclk1,Cuta,Pou2f1,,Fgd2,Grk5,Git2
Copg1,Fhl3,Cxcl1,Dclk2,Cux1,Pou2f3,,Fgd4,Grn,Gja5
Cops3,Fhod3,Cxcl10,Dcn,Cwc22,Pou3f1,,Fgf1,Gsap,Glce
Cops4,Fignl1,Cxcl12,Dcp1a,Cxcl12,Pou4f1,,Fgf10,Gsk3b,Gle1
Cops7a,Fjx1,Cxcl16,Dcp1b,Cxcl5,Ppa2,,Fgf12,Gss,Glg1
Copz2,Fkbp10,Cxcr2,Dcps,Cxxc5,Ppfibp1,,Fgf13,Gsta3,Gli2
Coq10b,Fkbp11,Cxcr4,Dctd,Cyb561,Ppid,,Fgf2,Gtf2e2,Gli3
Coq2,Fkbp3,Cxxc5,Dctn2,Cyb5d2,Ppif,,Fgf7,Gtf2h2,Glis3
Coq3,Fkbp4,Cyb561,Dctn6,Cyb5r1,Ppip5k2,,Fgfbp3,Gtf2h5,Glrb
Coq4,Fkbp5,Cyb5b,Dctpp1,Cyba,Ppm1h,,Fgfr1,Gtpbp10,Glrx3
Coq5,Fkbp9,Cyb5d2,Dcun1d3,Cyc1,Ppp1r13l,,Fgfr1op,Gtpbp4,Gltscr1l
Coq6,Flnb,Cyb5r1,Dcun1d4,Cyp1b1,Ppp1r35,,Fgfr2,Gucd1,Glud1
Coq7,Flrt2,Cyp11a1,Ddah1,Cyp20a1,Ppp1r9a,,Fgfr3,Gucy1a3,Gm11992
Coro1a,Fmnl3,Cyp1b1,Ddit3,Cyp27a1,Ppp2r3a,,Fgfr4,Gucy1b3,Gm14322
Coro2a,Fnbp1l,Cyp20a1,Ddit4,Cyp2r1,Ppp3cc,,Fgl2,Gulo,Gm15800
Coro6,Fndc3b,Cyp46a1,Ddx1,Cyp46a1,Prdx2,,Fh1,Gulp1,Gm17296
Cotl1,Fndc4,Cyp4f16,Ddx10,Cyp4v3,Prex1,,Fhl1,Gxylt1,Gm4951
Cox15,Fnip1,Cyp4v3,Ddx11,Cyp51,Prg4,,Fhl2,Gxylt2,Gmnn
Cox5a,Fnip2,Cyp51,Ddx18,Cyp7b1,Prickle1,,Fhod3,Gyltl1b,Gmpr
Cox5b,Fnta,Cyp7b1,Ddx20,Cyr61,Prim2,,Fibin,Gypc,Gna12
Cox6b2,Fntb,Cyr61,Ddx21,Cystm1,Prkacb,,Figf,H2-Bl,Gnai1
Cox7a2,Fosl1,Cysltr1,Ddx25,Cyth3,Prkcb,,Fignl1,H2-Eb1,Gnaz
Cox8a,Fosl2,Cytip,Ddx27,D030056L22Rik,Prkce,,Filip1l,H2-M3,Gnb2l1
Cpd,Foxc2,D030056L22Rik,Ddx31,D10Jhu81e,Prkcz,,Fjx1,H2-T23,Gne
Cpe,Foxd1,D10Jhu81e,Ddx39b,D10Wsu102e,Prkd1,,Fkbp15,H2afy,Gng13
Cpeb1,Foxj3,D15Ertd621e,Ddx41,D11Wsu47e,Prkg1,,Fkbp3,Hal,Gng2
Cpeb2,Foxk1,D16Ertd472e,Ddx47,D16Ertd472e,Prok2,,Fkbp5,Hand1,Gnl3
Cpeb4,Foxk2,D17Wsu92e,Ddx55,D19Bwg1357e,Prokr1,,Fli1,Hapln1,Gnpat
Cplx2,Foxn3,D2Wsu81e,Ddx56,D2Wsu81e,Prorsd1,,Flrt2,Has2,Gns
Cpne1,Foxo3,D3Ertd254e,Dedd,D630045J12Rik,Prps1,,Flrt3,Hat1,Golga3
Cpne2,Foxp1,D630045J12Rik,Dedd2,D8Ertd82e,Prps2,,Fmn1,Hbegf,Golph3
Cpne3,Foxp4,D6Wsu163e,Degs1,D930048N14Rik,Prr16,,Fmn2,Hcn1,Gorasp2
Cpne7,Foxred1,D7Ertd443e,Dek,Daam1,Prr18,,Fmnl3,Hddc2,Gosr2
Cpped1,Foxred2,D8Ertd82e,Dennd1a,Dab2,Prrg4,,Fmo2,Hdlbp,Got2
Cpsf3,Fra10ac1,D930048N14Rik,Dennd2c,Dab2ip,Prss16,,Fmod,Heatr1,Gpam
Cpsf6,Frat2,Daam1,Dennd4a,Dact1,Prss36,,Fn1,Heatr5a,Gpatch2
Cpt1a,Frmd4a,Dab2,Dennd4b,Dact2,Prss41,,Fnbp1l,Hecw2,Gpatch2l
Cpt2,Frmd6,Dach1,Dennd5b,Dact3,Prtg,,Fnbp4,Henmt1,Gpc1
Crabp2,Frrs1,Dact1,Denr,Dag1,Psat1,,Fndc1,Herpud2,Gpc3
Cradd,Fryl,Dact2,Depdc7,Daglb,Psd,,Fndc3a,Hes1,Gpc4
Crb2,Fscn1,Dag1,Deptor,Dap,Psmg4,,Fndc3b,Hexa,Gpc6
Creb3,Fsd1l,Dap,Derl2,Dap3,Pspc1,,Fndc3c1,Hexb,Gphn
Creb3l1,Fth1,Dap3,Dffb,Dapp1,Ptcd2,,Fnip1,Hgf,Gpnmb
Creb3l2,Ftsj2,Dapk1,Dgat2,Dars,Ptch1,,Fnip2,Hhat,Gpr135
Creb5,Ftsj3,Dapk2,Dgcr8,Dbf4,Ptger1,,Fntb,Hhex,Gpr149
Creg1,Furin,Dapp1,Dgkh,Dbi,Ptger4,,Focad,Hibadh,Gpr160
Creg2,Fut11,Dbf4,Dgki,Dbn1,Ptges3,,Fos,Hibch,Gpr161
Creld2,Fut8,Dbn1,Dguok,Dbndd2,Ptgfrn,,Foxc1,Hic1,Gpr183
Crem,Fxr1,Dbndd2,Dhodh,Dbr1,Ptgs1,,Foxc2,Hira,Gpr65
Crim1,Fxr2,Dbnl,Dhrs11,Dbt,Pth1r,,Foxd1,Hivep1,Gpr68
Crip1,Fyttd1,Dbt,Dhrs3,Dcaf10,Ptma,,Foxf1,Hivep2,Gprasp1
Crispld2,Fzd2,Dcaf10,Dhrs4,Dcaf17,Ptpdc1,,Foxf2,Hivep3,Gprc5a
Crk,Fzd5,Dcaf4,Dhrs7b,Dcaf4,Ptpn1,,Foxn4,Hk1,Gprc5c
Crlf1,Fzd7,Dcaf6,Dhrs9,Dcaf6,Ptpn23,,Foxo1,Hk2,Gprin3
Crlf2,G3bp1,Dcbld1,Dhx30,Dcbld2,Ptpn9,,Foxp1,Hlf,Gpsm3
Crlf3,G3bp2,Dcbld2,Dhx35,Dchs1,Ptpra,,Foxp2,Hlx,Grb10
Crls1,G6pc3,Dcc,Dhx37,Dclk1,Ptprc,,Foxq1,Hmcn1,Grb14
Crmp1,Gaa,Dclk2,Diablo,Dclk2,Ptprd,,Fpgs,Hmga2,Grb2
Crtc3,Gab1,Dcn,Diap3,Dcn,Ptprk,,Fras1,Hmgcr,Greb1
Cry1,Gadd45b,Dcp1a,Dido1,Dcp1a,Ptprm,,Frat2,Hnrnpr,Greb1l
Cryl1,Gadd45g,Dcp1b,Diexf,Dcps,Ptprn2,,Frem1,Homer2,Grem1
Cse1l,Galns,Dcps,Dis3l,Dctd,Pvrl3,,Frk,Homez,Grem2
Csf1,Galnt1,Dctd,Dis3l2,Dctn6,Pwwp2a,,Frmd4a,Hopx,Grhl3
Csf2ra,Galnt2,Dctn6,Dixdc1,Dctpp1,Qk,,Frmd4b,Hoxd8,Gria1
Csgalnact2,Gapdh,Dctpp1,Dkc1,Dcun1d3,Qpct,,Frmd6,Hpdl,Grid2
Csk,Gar1,Dcun1d3,Dkk1,Dcun1d4,Qser1,,Frmpd1,Hpgd,Grik1
Csmd1,Gareml,Ddah1,Dkk2,Ddah1,Qsox1,,Frs2,Hpgds,Grin3a
Csnk1d,Garnl3,Ddhd1,Dlat,Ddhd1,Rab10,,Fryl,Hpse,Grip1
Csnk1e,Gars,Ddit3,Dlc1,Ddhd2,Rab11a,,Frzb,Hrh1,Grk5
Csnk1g1,Gart,Ddx1,Dld,Ddit3,Rab11fip3,,Fut11,Hrk,Grn
Csnk2a1,Gas2l1,Ddx10,Dlec1,Ddit4,Rab11fip4,,Fxn,Hs2st1,Grpel2
Cspg4,Gas8,Ddx11,Dlg1,Ddit4l,Rab31,,Fxyd2,Hs3st3a1,Gsap
Csrnp1,Gata4,Ddx18,Dlg2,Ddrgk1,Rab8a,,Fyb,Hs6st1,Gsc2
Csrp1,Gatad1,Ddx21,Dlk2,Ddx1,Rabepk,,Fyn,Hsd17b7,Gsk3b
Cst3,Gatad2a,Ddx24,Dll3,Ddx10,Rabgap1l,,Fzd1,Hsd3b1,Gss
Cstb,Gatc,Ddx25,Dlx2,Ddx11,Racgap1,,Fzd4,Hsd3b6,Gsta3
Cstf2,Gcc2,Ddx27,Dmp1,Ddx18,Rad1,,Fzd5,Hspa13,Gtf2h2
Ctbp1,Gchfr,Ddx31,Dmrt1,Ddx20,Rad50,,Fzd7,Hspe1,Gtf2h5
Ctbs,Gclc,Ddx41,Dmrt2,Ddx21,Rad51ap1,,Fzd8,Hsph1,Gtf2ird1
Ctc1,Gclm,Ddx55,Dna2,Ddx27,Rad51b,,Gab1,Htr1b,Gtf3c1
Ctcf,Gcn1l1,Ddx56,Dnaaf2,Ddx31,Rad54l,,Gab2,Htr2a,Gtpbp10
Ctdnep1,Gcnt1,Ddx59,Dnaja2,Ddx39,Raet1d,,Gabra1,Htr2b,Gtpbp4
Ctf1,Gcsh,Ddx60,Dnaja4,Ddx41,Raf1,,Gabra4,Htt,Gucy1a3
Ctgf,Gdap2,Dedd2,Dnajb11,Ddx46,Ralgapb,,Gabrb1,Hus1,Gucy1b3
Cth,Gde1,Degs1,Dnajb4,Ddx47,Ralgps2,,Gabrb3,Iah1,Gulp1
Ctif,Gdi1,Dennd1a,Dnajb9,Ddx55,Ramp3,,Gad2,Iars,Gxylt2
Ctnnal1,Gdi2,Dennd2a,Dnajc1,Ddx56,Ranbp17,,Gadd45a,Ibtk,Gyltl1b
Ctnnbl1,Gdpgp1,Dennd3,Dnajc11,Ddx60,Rap1gap2,,Gadd45g,Ica1,Gypc
Ctsa,Gemin7,Dennd4a,Dnajc13,Dedd,Rapgef4,,Gak,Ica1l,H2-Bl
Ctsb,Gemin8,Dennd4b,Dnajc14,Dedd2,Rapgef5,,Gal,Id2,H2-Eb1
Ctsd,Get4,Denr,Dnajc2,Degs1,Rara,,Galc,Id4,H2-M3
Ctsl,Gfra4,Depdc1b,Dnajc21,Dennd1a,Rarb,,Galnt1,Ide,H2-T23
Ctsz,Gga1,Depdc7,Dnajc27,Dennd2c,Rasa1,,Galnt10,Idh3a,H2afy
Cttn,Ggnbp2,Deptor,Dnajc3,Dennd4a,Rasgrf2,,Galnt13,Ier3,Hal
Cttnbp2nl,Ggta1,Derl1,Dnajc5,Dennd4b,Rasgrp3,,Galnt15,Ier5,Hand1
Ctxn1,Ghr,Dffb,Dnase1l3,Dennd5b,Rassf3,,Galnt18,Ifi202b,Hapln1
Cubn,Gigyf2,Dfna5,Dnlz,Depdc7,Rassf6,,Galnt2,Ifih1,Has2
Cuedc1,Gins4,Dgat2,Dnmbp,Deptor,Rb1,,Galnt9,Ifngr1,Hat1
Cux2,Git1,Dgcr6,Dnmt1,Derl2,Rbm20,,Gap43,Ift140,Hcn1
Cwc22,Gja1,Dgcr8,Dnmt3b,Det1,Rbm27,,Garnl3,Igf1,Hdac4
Cwf19l2,Gjc1,Dgki,Dnph1,Dffb,Rbm47,,Gas2,Igf1r,Hddc2
Cxadr,Gk5,Dgkz,Dock1,Dgat2,Rbms1,,Gas2l3,Igf2,Hdlbp
Cxcl1,Gkap1,Dhcr24,Dock10,Dgcr14,Rbms2,,Gas7,Igfbp2,Heatr1
Cxcl12,Glcci1,Dhodh,Dock4,Dgcr8,Rbp1,,Gata3,Igfbp3,Heatr5a
Cxcr4,Gli2,Dhrs11,Dock5,Dgki,Rcan1,,Gata4,Igfbp5,Hecw2
Cxxc1,Gli3,Dhrs3,Dock7,Dguok,Reep3,,Gata6,Igfbp7,Herpud2
Cxxc4,Glis3,Dhrs4,Dock8,Dhcr24,Rere,,Gatc,Igsf10,Hes1
Cyb561,Glo1,Dhrs7b,Dock9,Dhcr7,Rest,,Gatsl2,Ikbip,Hexa
Cyb561d2,Glod4,Dhx16,Dok1,Dhdh,Rftn1,,Gbp2,Ikzf2,Hexb
Cyb5d1,Glrx3,Dhx30,Dolk,Dhodh,Rfx3,,Gbp3,Il10ra,Heyl
Cyb5d2,Gls,Dhx35,Dopey2,Dhrs11,Rgcc,,Gcat,Il10rb,Hgf
Cyb5r1,Gls2,Diablo,Dpagt1,Dhrs3,Rgs7,,Gclm,Il15,Hhat
Cyb5r3,Gltscr1l,Diap3,Dpf1,Dhrs4,Rhbdd1,,Gcnt1,Il15ra,Hhex
Cyba,Gm13157,Dicer1,Dph5,Dhrs7b,Rhcg,,Gdap2,Il17rd,Hibadh
Cyc1,Gm5595,Dido1,Dpy30,Dhrs9,Rhobtb1,,Gdf6,Il18,Hibch
Cyfip2,Gm608,Dio3,Dpysl3,Dhx37,Rhog,,Gdnf,Il1rap,Hic1
Cyhr1,Gmeb2,Dis3l,Dpysl4,Dhx58,Rhou,,Gemin5,Il1rl1,Hif1a
Cyp1a1,Gmfb,Dis3l2,Dram1,Dhx8,Ric8b,,Gemin6,Il1rl2,Hipk2
Cyp1b1,Gna13,Dixdc1,Dram2,Diablo,Rictor,,Gemin8,Il31ra,Hivep1
Cyp20a1,Gnai1,Dkc1,Drd4,Dido1,Rif1,,Gfm2,Il33,Hivep2
Cyp39a1,Gnas,Dkk1,Dscr3,Diexf,Rims1,,Gfpt2,Il4ra,Hivep3
Cyp4f39,Gnb2,Dkk2,Dse,Dio2,Rin2,,Gfra1,Il6st,Hk1
Cyp4v3,Gnb2l1,Dlat,Dsel,Dip2b,Rin3,,Gfra4,Il7r,Hk2
Cyr61,Gng3,Dlc1,Dsn1,Dip2c,Ripk4,,Gga2,Ildr2,Hlf
Cyth1,Gng5,Dlec1,Dst,Diras2,Rmnd5a,,Ggact,Ilf3,Hlx
Cyth2,Gng7,Dlg1,Dstn,Dis3l,Rnd3,,Ggh,Immp2l,Hmbox1
D10Wsu102e,Gnl1,Dlg2,Dstyk,Dixdc1,Rnf103,,Ggt7,Impa2,Hmcn1
D16Ertd472e,Gnpnat1,Dlgap1,Dtd1,Dkc1,Rnf130,,Ggta1,Incenp,Hmga2
D2Wsu81e,Gnptab,Dlgap2,Dtd2,Dkk2,Rnf165,,Ghr,Inf2,Hmgcll1
D2hgdh,Golga3,Dlk2,Dtl,Dlat,Rnf208,,Gid8,Ing3,Hmgcr
D630045J12Rik,Golga4,Dll1,Dtnb,Dlc1,Rnf219,,Git2,Inhba,Hnrnpa3
D6Wsu163e,Golga5,Dll4,Dtnbp1,Dld,Rnf220,,Gja1,Inpp4a,Hnrnph1
D8Ertd82e,Golim4,Dlx2,Dtwd1,Dlec1,Rnh1,,Gja5,Inpp4b,Homer2
D930015E06Rik,Gorasp2,Dlx3,Dtymk,Dlg1,Robo2,,Glce,Insig2,Homez
D930048N14Rik,Got1,Dlx4,Duox2,Dlg2,Rock2,,Gldc,Insr,Hopx
Daam1,Got2,Dmrt2,Duoxa2,Dlk2,Rpap3,,Gle1,Ints4,Hoxd8
Dab1,Gpaa1,Dna2,Dus1l,Dll1,Rpl11,,Glg1,Ints7,Hpdl
Dab2,Gpam,Dnaaf2,Dus4l,Dll3,Rpl12,,Gli3,Invs,Hpgd
Dab2ip,Gpatch4,Dnaja1,Dusp1,Dlx2,Rpl27a,,Glipr2,Ipo11,Hpgds
Dach1,Gpatch8,Dnajb1,Dusp10,Dmp1,Rpl3,,Glis3,Ipo9,Hpse
Dact1,Gpbp1,Dnajb4,Dusp2,Dmrt2,Rpl6,,Glrx,Iqgap1,Hrh1
Dact2,Gpc3,Dnajb9,Dusp22,Dna2,Rplp0,,Gls,Irak1bp1,Hrk
Dact3,Gpcpd1,Dnajc1,Dusp23,Dnaja2,Rplp1,,Gls2,Irak4,Hs2st1
Dad1,Gpd2,Dnajc10,Dusp3,Dnaja4,Rpp40,,Glt8d2,Irf2,Hs3st1
Dag1,Gpi1,Dnajc13,Dusp5,Dnajb12,Rps10,,Glud1,Irf2bp2,Hs3st3b1
Dagla,Gpn3,Dnajc15,Dusp6,Dnajb4,Rps12,,Gm11992,Irf8,Hs6st1
Daglb,Gpr137c,Dnajc2,Dut,Dnajb9,Rps16,,Gm15800,Irgm1,Hsd17b7
Dap,Gpr157,Dnajc27,Dvl2,Dnajc1,Rps17,,Gm1661,Irs2,Hsd3b1
Dap3,Gpr180,Dnajc5,Dync1h1,Dnajc11,Rps19,,Gm17296,Irx1,Hsd3b6
Dapk1,Gpr63,Dnase1l3,Dync1i1,Dnajc13,Rps23,,Gm266,Irx2,Hsf2bp
Dars,Gpr84,Dnlz,Dync1i2,Dnajc14,Rps3a1,,Gm4951,Isg15,Hspa13
Dars2,Gpr88,Dnmbp,Dync1li2,Dnajc2,Rps4x,,Gm608,Isl1,Hspa1b
Dbf4,Gps1,Dnmt3b,Dynlt1a,Dnajc27,Rps8,,Gna12,Ism1,Hspa4l
Dbn1,Gps2,Dnph1,Dyrk3,Dnajc3,Rps9,,Gna14,Itfg1,Hspe1
Dbr1,Gpsm3,Dock1,E030030I06Rik,Dnajc30,Rpusd2,,Gnai2,Itga2,Hsph1
Dbt,Gpx1,Dock10,E130012A19Rik,Dnajc5,Rrp1b,,Gnai3,Itga4,Htatip2
Dcaf10,Gramd3,Dock2,E2f2,Dnajc7,Rsf1,,Gnaq,Itgav,Htr1b
Dcaf12l2,Gramd4,Dock3,E2f5,Dnase1l3,Rsu1,,Gnaz,Itgb1,Htr2a
Dcaf17,Grap,Dock4,Eaf1,Dnmbp,Rtl1,,Gnb2l1,Itgb2,Htr2b
Dcaf4,Grasp,Dock7,Ebf1,Dnmt3b,Rtn4rl2,,Gnb4,Itgb3,Htt
Dcaf5,Grb10,Dock8,Ecd,Dnph1,Rufy1,,Gng13,Itih2,Hus1
Dcaf6,Greb1l,Dock9,Ece1,Dnttip2,Runx1,,Gng2,Itih5,Hyal1
Dcakd,Grin2d,Dok1,Echdc2,Dock1,Runx2,,Gnpat,Itm2b,Iah1
Dcbld1,Grm8,Dolk,Echdc3,Dock10,Rusc1,,Gns,Itpr2,Ibtk
Dcbld2,Grpel2,Dopey1,Echs1,Dock3,Ryr1,,Golga3,Itpripl2,Ica1
Dclk2,Gse1,Dopey2,Eci1,Dock4,Ryr2,,Golga4,Itsn1,Ica1l
Dcp1a,Gsg2,Doxl2,Ecsit,Dock7,Sae1,,Golga5,Itsn2,Ick
Dcp1b,Gsk3b,Dpf1,Ect2,Dock8,Sall1,,Golph3,Ivl,Icosl
Dcp2,Gskip,Dph5,Eda,Dock9,Samd5,,Golt1b,Jag1,Id2
Dcps,Gspt1,Dpp4,Edem1,Dok1,Samsn1,,Gorab,Jak1,Id4
Dctd,Gsta4,Dpp7,Edil3,Dolk,Sbspon,,Gorasp2,Jak2,Idh3a
Dctpp1,Gstcd,Dpp9,Edn2,Dopey1,Sc5d,,Gosr2,Jam2,Ier3
Dcun1d3,Gsto1,Dpt,Ednrb,Dopey2,Scaf11,,Got1,Jam3,Ier5
Dcxr,Gtf2e2,Dpy19l1,Eea1,Dpagt1,Scamp1,,Got2,Jarid2,Ifi202b
Dda1,Gtf2f2,Dpy30,Eef1a1,Dpf1,Scarf2,,Gpam,Jazf1,Ifih1
Ddah1,Gtf2h5,Dpysl2,Eef1b2,Dph5,Scfd2,,Gpatch2,Jun,Ifitm2
Ddb1,Gtf2i,Dpysl3,Eef1g,Dpy19l1,Scn3a,,Gpatch2l,Kalrn,Ifngr1
Ddb2,Gtf3c4,Drd4,Eef2,Dpy30,Scn5a,,Gpc4,Kank4,Igf1
Ddhd1,Gtpbp10,Drosha,Eepd1,Dpysl3,Scn8a,,Gpc6,Kansl1l,Igf1r
Ddhd2,Gtpbp3,Dsc2,Efhd2,Dram2,Scp2,,Gphn,Kat6b,Igf2
Ddit3,Gtpbp4,Dscr3,Efna1,Drd4,Sdc3,,Gpr137b,Katnal1,Igfbp2
Ddit4,Guf1,Dse,Efna3,Dscr3,Sdhd,,Gpr160,Katnal2,Igfbp3
Ddr1,Guk1,Dsel,Efna5,Dse,Sec14l1,,Gpr183,Kbtbd8,Igfbp4
Ddx10,Gulp1,Dsp,Efnb2,Dsel,Sec23a,,Gpr63,Kcna3,Igfbp5
Ddx11,Gxylt1,Dst,Eftud2,Dst,Sec24a,,Gpr65,Kcna5,Igfbp7
Ddx19b,Gyg,Dstyk,Egfl7,Dstyk,Sec24d,,Gpr68,Kcnab1,Ighmbp2
Ddx21,Gys1,Dtd1,Egflam,Dtd1,Sec31a,,Gpr83,Kcnb2,Igsf10
Ddx26b,H13,Dtd2,Egfr,Dtd2,Sec61a1,,Gpr88,Kcnc4,Igsf9b
Ddx39b,H2-K1,Dtl,Egln1,Dtl,Sel1l,,Gprc5a,Kcnd2,Ikbip
Ddx55,H2-Ke6,Dtna,Egln3,Dtnb,Selplg,,Gprc5c,Kcne1,Ikbkap
Ddx56,H2afj,Dtnb,Egr1,Dtnbp1,Sema3a,,Gpsm3,Kcne4,Ikzf2
Ddx59,H2afx,Dtnbp1,Egr2,Dtymk,Sema3c,,Gpt2,Kcnj2,Il10ra
Def6,H2afy,Dtwd1,Egr3,Duox2,Sema3d,,Gpx4,Kcnk1,Il10rb
Degs1,H3f3a,Dtx1,Ehbp1l1,Duoxa2,Sema6a,,Gpx7,Kcnk13,Il13ra1
Dek,Hace1,Dtx4,Ehd1,Dus1l,Sema7a,,Gramd1b,Kcnk2,Il15
Dennd2a,Haus1,Dtymk,Ehd2,Dus4l,Sepn1,,Gramd4,Kcnn2,Il15ra
Dennd2c,Haus4,Duox2,Ehd3,Dusp1,Serbp1,,Grb14,Kcnq4,Il17rd
Dennd4a,Haus8,Dus1l,Ehd4,Dusp10,Sesn1,,Grb2,Kcnt2,Il18
Dennd4b,Hbegf,Dus4l,Ehhadh,Dusp11,Set,,Greb1l,Kctd10,Il1rap
Dennd4c,Hbp1,Dusp1,Ei24,Dusp14,Setd1b,,Grem1,Kctd21,Il1rl1
Dennd6a,Hbs1l,Dusp10,Eid1,Dusp2,Setd5,,Grem2,Kctd3,Il1rl2
Dennd6b,Hcfc1,Dusp15,Eid2,Dusp23,Setd6,,Grhl3,Kdelc2,Il31ra
Denr,Hdac2,Dusp2,Eid2b,Dusp5,Setx,,Grhpr,Kdm2a,Il33
Depdc1b,Hdac7,Dusp23,Eif1,Dusp6,Sgcd,,Gria1,Kdm6a,Il4ra
Depdc7,Hddc2,Dusp3,Eif1ad,Dut,Sgms1,,Gria3,Kdr,Il5ra
Deptor,Hdgf,Dusp5,Eif1ax,Dvl2,Sgsh,,Gria4,Khdrbs3,Il6
Derl1,Hdgfrp2,Dusp6,Eif1b,Dync1h1,Sh3pxd2a,,Grid2,Kidins220,Il6st
Derl2,Hdgfrp3,Dusp7,Eif2a,Dync1i1,Sh3rf1,,Grik1,Kif13a,Il7r
Derl3,Hdhd2,Dusp9,Eif2ak1,Dync1i2,Sh3rf3,,Grik3,Kif13b,Ildr2
Dffb,Hdlbp,Dut,Eif2ak4,Dync1li1,Shisa3,,Grin3a,Kif15,Immp2l
Dgat2,Heatr5a,Dvl2,Eif2b1,Dynll2,Shq1,,Grip1,Kif18a,Impa2
Dgcr6,Heatr6,Dym,Eif2b3,Dyrk1b,Sidt1,,Grk5,Kif21a,Incenp
Dgcr8,Heca,Dync1h1,Eif2b4,Dyrk3,Sipa1,,Grn,Kif23,Inf2
Dgke,Hectd1,Dync1i1,Eif2b5,E030011O05Rik,Skap2,,Grsf1,Kif26b,Inhba
Dguok,Herc4,Dync1i2,Eif2s3x,E030030I06Rik,Skida1,,Gsap,Kif2a,Inip
Dhcr7,Herpud1,Dync1li2,Eif3c,E130012A19Rik,Slain1,,Gse1,Kif2c,Inpp4b
Dhodh,Herpud2,Dynll1,Eif3g,E130308A19Rik,Slc10a7,,Gsk3b,Kif6,Inpp5e
Dhrs11,Hes1,Dynll2,Eif3h,E2f1,Slc12a2,,Gss,Kirrel3,Insig2
Dhrs13,Hexa,Dynlt1a,Eif3i,E2f5,Slc12a3,,Gsta3,Kitl,Insr
Dhrs7b,Hexim1,Dyrk1a,Eif3k,E2f7,Slc16a1,,Gsta4,Klf12,Ints4
Dhx30,Hgsnat,Dyrk3,Eif3l,Ebf1,Slc22a23,,Gstm1,Klf3,Intu
Dhx32,Hiatl1,Dysf,Eif3m,Ebf2,Slc23a2,,Gtf2e1,Klf4,Invs
Dhx35,Hic1,E030030I06Rik,Eif4a1,Ebf3,Slc24a2,,Gtf3c1,Klf5,Ipo11
Dhx58,Higd2a,E130012A19Rik,Eif4b,Ebna1bp2,Slc24a3,,Gtpbp10,Klf6,Ipo9
Diablo,Hilpda,E2f2,Eif4ebp2,Ecd,Slc25a33,,Gtpbp4,Klf7,Iqgap1
Diap3,Hint1,E2f5,Eif4g2,Echdc2,Slc26a5,,Gucy1a2,Klhdc10,Iqsec1
Dio3,Hint3,E430018J23Rik,Eif4g3,Echdc3,Slc27a3,,Gucy1a3,Klhl22,Irak1bp1
Dip2a,Hip1,E430025E21Rik,Eif5a2,Echs1,Slc2a12,,Gucy1b3,Klhl25,Irak4
Dip2b,Hipk2,Ebf1,Elac2,Eci1,Slc31a2,,Gulp1,Klhl29,Irf2
Dis3l,Hirip3,Ecd,Elf1,Ecsit,Slc35b3,,Gxylt1,Klhl6,Irf2bp2
Dis3l2,Hist1h2ae,Echdc3,Elfn1,Ect2,Slc35b4,,Gxylt2,Klhl9,Irf2bpl
